,login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
250,sebastianruder,sebastianruder/latent-variable-vecmap,2018-03-07T12:37:01Z,18,18,Python,True,True,gpl-3.0
251,sebastianruder,sebastianruder/sluice-networks,2017-07-18T08:33:18Z,152,152,Python,True,True,
252,sebastianruder,sebastianruder/MUSE,2018-01-30T13:19:28Z,5,5,Python,True,False,other
253,sebastianruder,sebastianruder/semi-supervised,2018-04-26T08:41:38Z,10,10,TeX,True,True,
254,sebastianruder,sebastianruder/bilstm-aux,2017-08-23T14:26:44Z,5,5,Python,True,True,other
255,sebastianruder,sebastianruder/learn-to-select-data,2017-07-17T15:35:02Z,169,169,Python,True,True,
256,sebastianruder,sebastianruder/blog,2015-08-16T14:59:18Z,3,3,CSS,True,True,mit
257,sebastianruder,sebastianruder/NeuroNER,2017-09-13T14:46:29Z,3,3,Python,True,True,
258,sebastianruder,sebastianruder/research_interests,2016-05-06T10:28:18Z,3,3,TeX,True,True,
259,sebastianruder,sebastianruder/tensorflow-experiments,2015-11-15T17:33:13Z,11,11,C++,True,True,
260,sebastianruder,sebastianruder/ml,2015-08-08T09:41:02Z,3,3,Python,True,True,
261,sebastianruder,sebastianruder/kaggle,2015-08-30T08:45:58Z,4,4,Python,True,True,
262,sebastianruder,sebastianruder/TravelClassify,2015-05-11T06:24:49Z,6,6,Java,True,True,mit
263,sebastianruder,sebastianruder/buster,2016-01-08T11:26:31Z,1,1,Python,True,True,mit
264,sebastianruder,sebastianruder/cs4001,2014-10-21T09:52:06Z,1,1,,True,True,
265,sebastianruder,sebastianruder/StartupPitchPerfect,2014-11-22T12:03:25Z,5,5,JavaScript,True,True,
266,sebastianruder,sebastianruder/BART,2014-05-05T09:18:41Z,5,5,Java,True,True,
267,sebastianruder,sebastianruder/relex,2014-05-08T16:08:07Z,1,1,Java,True,False,apache-2.0
268,sebastianruder,sebastianruder/external-tools,2014-06-09T14:58:20Z,1,1,CSS,True,False,agpl-3.0
269,vakila,vakila/convex-cms-vite,2024-08-05T14:15:21Z,0,0,TypeScript,True,False,apache-2.0
270,vakila,vakila/automerge.github.io,2024-03-16T21:43:08Z,0,0,JavaScript,True,True,
271,vakila,vakila/automerge-repo-quickstart,2024-03-16T22:03:18Z,0,0,TypeScript,True,True,
272,vakila,vakila/meme-me,2023-11-30T15:16:28Z,7,7,HTML,True,False,
273,vakila,vakila/observable-demo,2020-06-03T00:32:57Z,9,9,HTML,True,False,
274,vakila,vakila/convex-helpers,2023-02-16T23:44:26Z,0,0,,True,True,mit
275,vakila,vakila/convex-templates,2023-11-01T17:42:10Z,0,0,,True,True,
276,vakila,vakila/ai-town,2023-08-17T15:05:29Z,1,1,,True,True,mit
277,vakila,vakila/coducks,2023-07-03T22:55:08Z,7,7,TypeScript,True,False,
278,vakila,vakila/functional-workshop,2018-07-30T02:18:19Z,335,335,JavaScript,True,True,
279,vakila,vakila/javascript-first-steps,2022-09-10T00:47:34Z,11,11,HTML,True,True,
280,vakila,vakila/convex-demos,2023-01-05T23:07:52Z,0,0,,True,True,
281,vakila,vakila/dataviz-for-react-devs,2022-10-19T00:00:42Z,4,4,JavaScript,True,True,
282,vakila,vakila/egghead-lessons,2020-05-03T19:29:42Z,8,8,HTML,True,True,
283,vakila,vakila/mapbox-concatenate-workshop,2019-10-08T19:26:03Z,19,19,HTML,True,True,
284,vakila,vakila/dunders,2016-07-20T21:26:23Z,84,84,Python,True,True,
